marxin@marxinbox:~/Programming/creduce-benchmarks/pr94523-template-depth> git co pr94523.ii && TMPDIR=/dev/shm/tmp creduce --n 16 reduce-ice.sh pr94523.ii --timing
Updated 0 paths from the index
2020-04-12 12:09:36,326 INFO (75.9%, 525375 bytes)
2020-04-12 12:09:37,187 INFO (75.9%, 524956 bytes)
2020-04-12 12:09:37,704 INFO (75.9%, 524078 bytes)
2020-04-12 12:09:39,263 INFO (76.0%, 523712 bytes)
2020-04-12 12:09:40,960 INFO (76.0%, 523350 bytes)
2020-04-12 12:09:41,813 INFO (76.0%, 523074 bytes)
2020-04-12 12:09:43,017 INFO (76.0%, 522332 bytes)
2020-04-12 12:09:43,700 INFO (76.0%, 522035 bytes)
2020-04-12 12:09:44,219 INFO (76.1%, 521499 bytes)
2020-04-12 12:09:45,235 INFO (76.1%, 521246 bytes)
2020-04-12 12:09:45,914 INFO (76.1%, 520974 bytes)
2020-04-12 12:09:46,431 INFO (76.1%, 520639 bytes)
2020-04-12 12:09:47,114 INFO (76.1%, 520259 bytes)
2020-04-12 12:09:47,633 INFO (76.1%, 519953 bytes)
2020-04-12 12:09:48,312 INFO (76.1%, 519752 bytes)
2020-04-12 12:09:50,005 INFO (76.2%, 519348 bytes)
2020-04-12 12:09:51,366 INFO (76.2%, 518961 bytes)
2020-04-12 12:09:51,877 INFO (76.2%, 518753 bytes)
2020-04-12 12:09:52,379 INFO (76.2%, 518260 bytes)
2020-04-12 12:09:53,565 INFO (76.2%, 517944 bytes)
2020-04-12 12:09:55,092 INFO (76.2%, 517728 bytes)
2020-04-12 12:09:56,278 INFO (76.3%, 516982 bytes)
2020-04-12 12:09:56,964 INFO (76.3%, 516681 bytes)
2020-04-12 12:09:57,653 INFO (76.3%, 516509 bytes)
2020-04-12 12:09:58,493 INFO (76.3%, 516240 bytes)
2020-04-12 12:09:59,163 INFO (76.3%, 516047 bytes)
2020-04-12 12:10:00,514 INFO (76.3%, 515651 bytes)
2020-04-12 12:10:01,353 INFO (76.4%, 514909 bytes)
2020-04-12 12:10:02,198 INFO (76.4%, 514378 bytes)
2020-04-12 12:10:03,042 INFO (76.4%, 514172 bytes)
2020-04-12 12:10:03,886 INFO (76.4%, 513919 bytes)
2020-04-12 12:10:04,730 INFO (76.4%, 513601 bytes)
2020-04-12 12:10:05,410 INFO (76.4%, 513419 bytes)
2020-04-12 12:10:06,087 INFO (76.5%, 513098 bytes)
2020-04-12 12:10:06,761 INFO (76.5%, 512849 bytes)
2020-04-12 12:10:07,432 INFO (76.5%, 512708 bytes)
2020-04-12 12:10:07,932 INFO (76.5%, 512463 bytes)
2020-04-12 12:10:08,596 INFO (76.5%, 511898 bytes)
2020-04-12 12:10:09,591 INFO (76.5%, 511627 bytes)
2020-04-12 12:10:10,579 INFO (76.5%, 511489 bytes)
2020-04-12 12:10:11,402 INFO (76.5%, 511216 bytes)
2020-04-12 12:10:12,232 INFO (76.6%, 510968 bytes)
2020-04-12 12:10:13,057 INFO (76.6%, 510872 bytes)
2020-04-12 12:10:13,884 INFO (76.6%, 510766 bytes)
2020-04-12 12:10:14,711 INFO (76.6%, 510662 bytes)
2020-04-12 12:10:15,707 INFO (76.6%, 510522 bytes)
2020-04-12 12:10:16,546 INFO (76.6%, 510099 bytes)
2020-04-12 12:10:17,054 INFO (76.6%, 509931 bytes)
2020-04-12 12:10:17,554 INFO (76.6%, 509716 bytes)
2020-04-12 12:10:18,392 INFO (76.6%, 509597 bytes)
2020-04-12 12:10:19,219 INFO (76.6%, 509491 bytes)
2020-04-12 12:10:19,898 INFO (76.6%, 509376 bytes)
2020-04-12 12:10:20,560 INFO (76.6%, 509267 bytes)
2020-04-12 12:10:21,230 INFO (76.6%, 509160 bytes)
2020-04-12 12:10:21,892 INFO (76.6%, 508950 bytes)
2020-04-12 12:10:22,561 INFO (76.6%, 508851 bytes)
2020-04-12 12:10:23,224 INFO (76.7%, 508766 bytes)
2020-04-12 12:10:23,892 INFO (76.7%, 508597 bytes)
2020-04-12 12:10:24,722 INFO (76.7%, 508515 bytes)
2020-04-12 12:10:25,385 INFO (76.7%, 508398 bytes)
2020-04-12 12:10:26,381 INFO (76.7%, 508243 bytes)
2020-04-12 12:10:27,383 INFO (76.7%, 507923 bytes)
2020-04-12 12:10:28,224 INFO (76.7%, 507580 bytes)
2020-04-12 12:10:28,898 INFO (76.7%, 507361 bytes)
2020-04-12 12:10:29,715 INFO (76.7%, 506951 bytes)
2020-04-12 12:10:30,698 INFO (76.8%, 506440 bytes)
2020-04-12 12:10:31,371 INFO (76.8%, 506210 bytes)
2020-04-12 12:10:32,201 INFO (76.8%, 506030 bytes)
2020-04-12 12:10:33,180 INFO (76.8%, 505488 bytes)
2020-04-12 12:10:34,002 INFO (76.8%, 505161 bytes)
2020-04-12 12:10:34,654 INFO (76.8%, 504640 bytes)
2020-04-12 12:10:35,309 INFO (76.9%, 504206 bytes)
2020-04-12 12:10:35,974 INFO (76.9%, 503838 bytes)
2020-04-12 12:10:36,796 INFO (76.9%, 503512 bytes)
2020-04-12 12:10:37,290 INFO (76.9%, 503402 bytes)
2020-04-12 12:10:38,274 INFO (76.9%, 503010 bytes)
2020-04-12 12:10:38,926 INFO (76.9%, 502636 bytes)
2020-04-12 12:10:39,744 INFO (77.0%, 502119 bytes)
2020-04-12 12:10:40,719 INFO (77.0%, 501632 bytes)
2020-04-12 12:10:41,694 INFO (77.0%, 501215 bytes)
2020-04-12 12:10:42,333 INFO (77.0%, 500692 bytes)
2020-04-12 12:10:43,303 INFO (77.1%, 499846 bytes)
2020-04-12 12:10:44,105 INFO (77.1%, 499689 bytes)
2020-04-12 12:10:45,397 INFO (77.1%, 499370 bytes)
2020-04-12 12:10:46,196 INFO (77.1%, 499137 bytes)
2020-04-12 12:10:46,845 INFO (77.1%, 499006 bytes)
2020-04-12 12:10:47,322 INFO (77.1%, 498061 bytes)
2020-04-12 12:10:48,603 INFO (77.2%, 497905 bytes)
2020-04-12 12:10:49,084 INFO (77.2%, 497692 bytes)
2020-04-12 12:10:49,723 INFO (77.2%, 497486 bytes)
2020-04-12 12:10:50,514 INFO (77.2%, 497338 bytes)
2020-04-12 12:10:51,474 INFO (77.2%, 496949 bytes)
2020-04-12 12:10:52,437 INFO (77.2%, 496801 bytes)
2020-04-12 12:10:53,883 INFO (77.2%, 496590 bytes)
2020-04-12 12:10:54,700 INFO (77.2%, 496379 bytes)
2020-04-12 12:10:55,519 INFO (77.2%, 496168 bytes)
2020-04-12 12:10:56,319 INFO (77.2%, 496018 bytes)
2020-04-12 12:10:57,274 INFO (77.2%, 495854 bytes)
2020-04-12 12:10:58,399 INFO (77.3%, 495649 bytes)
2020-04-12 12:10:59,214 INFO (77.3%, 495542 bytes)
2020-04-12 12:11:00,013 INFO (77.3%, 495247 bytes)
2020-04-12 12:11:01,459 INFO (77.3%, 495094 bytes)
2020-04-12 12:11:02,589 INFO (77.3%, 494887 bytes)
2020-04-12 12:11:03,227 INFO (77.3%, 494693 bytes)
2020-04-12 12:11:04,192 INFO (77.3%, 494529 bytes)
2020-04-12 12:11:05,314 INFO (77.3%, 494347 bytes)
2020-04-12 12:11:05,811 INFO (77.3%, 494159 bytes)
2020-04-12 12:11:06,602 INFO (77.3%, 494040 bytes)
2020-04-12 12:11:07,400 INFO (77.3%, 493904 bytes)
2020-04-12 12:11:08,354 INFO (77.3%, 493835 bytes)
2020-04-12 12:11:08,832 INFO (77.3%, 493770 bytes)
2020-04-12 12:11:09,798 INFO (77.3%, 493701 bytes)
2020-04-12 12:11:10,285 INFO (77.3%, 493601 bytes)
2020-04-12 12:11:11,735 INFO (77.4%, 493284 bytes)
2020-04-12 12:11:12,687 INFO (77.4%, 493185 bytes)
2020-04-12 12:11:13,317 INFO (77.4%, 493052 bytes)
2020-04-12 12:11:14,282 INFO (77.4%, 492805 bytes)
2020-04-12 12:11:15,238 INFO (77.4%, 492671 bytes)
2020-04-12 12:11:15,869 INFO (77.4%, 492320 bytes)
2020-04-12 12:11:16,660 INFO (77.4%, 492212 bytes)
2020-04-12 12:11:17,611 INFO (77.4%, 492068 bytes)
2020-04-12 12:11:18,250 INFO (77.4%, 491959 bytes)
2020-04-12 12:11:19,046 INFO (77.4%, 491797 bytes)
2020-04-12 12:11:20,336 INFO (77.4%, 491697 bytes)
2020-04-12 12:11:21,458 INFO (77.4%, 491617 bytes)
2020-04-12 12:11:22,263 INFO (77.4%, 491556 bytes)
2020-04-12 12:11:23,071 INFO (77.4%, 491495 bytes)
2020-04-12 12:11:23,708 INFO (77.4%, 491445 bytes)
2020-04-12 12:11:24,506 INFO (77.5%, 491376 bytes)
2020-04-12 12:11:25,463 INFO (77.5%, 491306 bytes)
2020-04-12 12:11:26,097 INFO (77.5%, 491272 bytes)
2020-04-12 12:11:27,198 INFO (77.5%, 491216 bytes)
2020-04-12 12:11:27,848 INFO (77.5%, 491154 bytes)
2020-04-12 12:11:28,480 INFO (77.5%, 490955 bytes)
2020-04-12 12:11:29,425 INFO (77.5%, 490791 bytes)
2020-04-12 12:11:30,062 INFO (77.5%, 490610 bytes)
2020-04-12 12:11:31,009 INFO (77.5%, 490172 bytes)
2020-04-12 12:11:31,641 INFO (77.5%, 490124 bytes)
2020-04-12 12:11:32,581 INFO (77.5%, 489942 bytes)
2020-04-12 12:11:33,385 INFO (77.5%, 489855 bytes)
2020-04-12 12:11:34,173 INFO (77.5%, 489639 bytes)
2020-04-12 12:11:35,602 INFO (77.5%, 489562 bytes)
2020-04-12 12:11:36,085 INFO (77.5%, 489516 bytes)
2020-04-12 12:11:36,728 INFO (77.5%, 489469 bytes)
2020-04-12 12:11:37,520 INFO (77.5%, 489407 bytes)
2020-04-12 12:11:38,305 INFO (77.5%, 489240 bytes)
2020-04-12 12:11:38,951 INFO (77.6%, 489155 bytes)
